add_comment
attach_file
attach_money
bar_chart
border_all
border_bottom
border_clear
border_color
border_horizontal
border_inner
border_left
border_outer
border_right
border_style
border_top
border_vertical
bubble_chart
drag_handle
format_align_center
format_align_justify
format_align_right
format_bold
format_clear
format_color_fill
format_color_reset
format_color_text
format_indent_decrease
format_indent_increase
format_italic
format_line_spacing
format_list_bulleted
format_list_numbered_rtl
format_list_numbered
format_paint
format_quote
format_shapes
format_size
format_strikethrough
format_textdirection_l_to_r
format_textdirection_r_to_l
format_underlined
functions
highlight
insert_chart_outlined
insert_chart
insert_comment
insert_drive_file
insert_emoticon
insert_invitation
insert_link
insert_photo
linear_scale
merge_type
mode_comment
monetization_on
money_off
multiline_chart
notes
ormat_align_left
pie_chart
publish
scatter_plot
score
short_text
show_chart
space_bar
strikethrough_s
table_chart
text_fields
title
vertical_align_bottom
vertical_align_center
vertical_align_top
wrap_text
