360
add_location
atm
beenhere
category
compass_calibration
departure_board
directions_bike
directions_boat
directions_bus
directions_car
directions_railway
directions_run
directions_subway
directions
directions_transit
directions_walk
edit_attributes
edit_location
ev_station
fastfood
flight
hotel
layers_clear
layers
local_activity
local_airport
local_atm
local_bar
local_cafe
local_car_wash
local_convenience_store
local_dining
local_drink
local_florist
local_gas_station
local_grocery_store
local_hospital
local_hotel
local_laundry_service
local_library
local_movies
local_offer
local_parking
local_pharmacy
local_phone
local_pizza
local_play
local_post_office
local_printshop
local_see
local_shipping
local_taxi
map
money
my_location
navigation
near_me
not_listed_location
ocal_mall
person_pin_circle
person_pin
pin_drop
place
rate_review
restaurant_menu
restaurant
satellite
store_mall_directory
streetview
subway
terrain
traffic
train
tram
transfer_within_a_station
transit_enterexit
trip_origin
zoom_out_map
