ac_unit
airport_shuttle
all_inclusive
beach_access
business_center
casino
child_care
child_friendly
fitness_center
free_breakfast
golf_course
hot_tub
kitchen
meeting_room
no_meeting_room
pool
room_service
rv_hookup
smoke_free
smoking_rooms
spa
