date,valeur
2014-07-11 09:51:07,2.0544
2014-07-11 07:06:07,0.1913
2014-07-11 04:24:03,0.2204
2014-07-11 01:39:07,0.836
2014-07-10 22:57:02,0.2223
2014-07-10 20:12:06,3.1997
2014-07-10 17:27:04,0.2096
2014-07-08 16:42:03,0.2187
2014-07-08 14:00:12,1.2555
2014-07-08 11:09:03,0.5546
2014-07-08 08:18:04,0.4637
2014-07-08 05:30:08,1.0007
2014-07-08 02:42:04,0.6396
2014-07-07 23:51:09,1.028
2014-07-07 21:03:04,2.0654
2014-07-07 18:18:05,0.6438
2014-07-07 15:33:07,0.6212
2014-07-07 12:48:05,0.2165
2014-07-07 09:18:08,0.6118
2014-07-07 06:33:03,0.5596
2014-07-07 03:45:09,2.0644
2014-07-07 00:57:07,0.4328
2014-07-06 22:12:05,1.0808
2014-07-06 19:24:07,0.2203
2014-07-06 16:36:03,0.6256
2014-07-06 13:48:03,0.2264
2014-07-06 11:03:04,0.403
2014-07-06 08:15:08,3.1935
2014-07-06 05:30:03,1.5304
2014-07-06 02:39:05,0.6535
2014-07-05 23:45:05,0.9998
2014-07-05 21:00:02,0.3741
2014-07-05 18:12:04,0.4798
2014-07-05 15:27:03,0.4001
2014-07-05 12:39:04,0.1981
2014-07-05 09:51:03,0.2126
2014-07-05 07:00:06,2.0988
2014-07-05 04:09:05,0.4554
2014-07-05 01:24:03,0.2076
2014-07-04 22:36:08,1.6744
2014-07-04 19:51:03,0.5459
2014-07-04 17:12:13,2.4241
2014-07-04 14:50:44,0
2014-07-04 12:42:06,0.5724
2014-07-04 10:03:07,0.2343
2014-07-04 07:21:04,0.5666
2014-07-04 04:36:05,0.7738
2014-07-04 01:54:03,1.0711
2014-07-03 23:09:06,0.2159
2014-07-03 20:24:05,0.3856
2014-07-03 17:42:03,0.1909
2014-07-03 14:06:12,1.8059
2014-07-03 11:24:03,0.8008
2014-07-03 08:39:04,0.998
2014-07-03 05:54:08,0.5978
2014-07-03 03:12:03,0.5315
2014-07-03 00:27:05,1.1922
2014-07-02 21:45:02,0.2382
2014-07-02 19:00:08,0.8631
2014-07-02 16:15:08,1.4181
2014-07-02 13:33:04,0.909
2014-07-02 10:48:09,1.5172
2014-07-02 08:06:02,0.574
2014-07-02 05:24:05,1.4779
2014-07-02 02:39:03,0.5588
2014-07-01 23:54:04,0.5635
2014-07-01 21:12:03,0.9173
2014-07-01 18:27:05,2.2858
2014-07-01 15:45:03,0.2226
2014-07-01 13:00:03,0.471
2014-07-01 10:15:04,0.8096
2014-07-01 07:33:03,0.5494
2014-07-01 04:48:07,2.4148
2014-07-01 02:06:05,2.7735
2014-06-30 23:21:03,0.6432
