access_alarms
access_time
add_alarm
add_to_home_screen
airplanemode_active
airplanemode_inactive
battery_20
battery_30
battery_50
battery_60
battery_80
battery_90
battery_alert
battery_charging_20
battery_charging_30
battery_charging_50
battery_charging_60
battery_charging_80
battery_charging_90
battery_charging_full
battery_full
battery_std
battery_unknown
bluetooth_connected
bluetooth_disabled
bluetooth_searching
bluetooth
brightness_auto
brightness_high
brightness_low
developer_mode
devices
dvr
gps_fixed
gps_not_fixed
gps_off
graphic_eq
location_disabled
location_searching
mobile_friendly
mobile_off
network_cell
network_wifi
nfc
outline-brightness_medium-24px
outline-data_usage-24px
screen_lock_landscape
screen_lock_portrait
screen_lock_rotation
screen_rotation
sd_storage
settings_system_daydream
signal_cellular_0_bar
signal_cellular_1_bar
signal_cellular_2_bar
signal_cellular_3_bar
signal_cellular_4_bar
signal_cellular_alt
signal_cellular_connected_no_internet_0_bar
signal_cellular_connected_no_internet_1_bar
signal_cellular_connected_no_internet_2_bar
signal_cellular_connected_no_internet_3_bar
signal_cellular_connected_no_internet_4_bar
signal_cellular_no_sim
signal_cellular_null
signal_cellular_off
signal_wifi_0_bar
signal_wifi_1_bar_lock
signal_wifi_1_bar
signal_wifi_2_bar_lock
signal_wifi_2_bar
signal_wifi_3_bar_lock
signal_wifi_3_bar
signal_wifi_4_bar_lock
signal_wifi_4_bar
signal_wifi_off
storage
usb
wallpaper
widgets
wifi_lock
wifi_tethering
