add_box
add_circle_outline
add_circle
add
archive
backspace
ballot
block
clear
create
delete_sweep
drafts
file_copy
filter_list
flag
font_download
forward
gesture
how_to_reg
how_to_vote
inbox
link_off
link
low_priority
mail
markunread
move_to_inbox
next_week
outlined_flag
redo
remove_circle_outline
remove_circle
remove
reply_all
reply
report_off
report
save_alt
save
select_all
send
sort
text_format
unarchive
undo
waves
weekend
where_to_vote
