cast_connected
cast_for_education
cast
computer
desktop_mac
desktop_windows
developer_board
device_hub
devices_other
device_unknown
dock
gamepad
headset_mic
headset
keyboard_arrow_down
keyboard_arrow_left
keyboard_arrow_right
keyboard_arrow_up
keyboard_backspace
keyboard_capslock
keyboard_hide
keyboard_return
keyboard
keyboard_tab
keyboard_voice
laptop_chromebook
laptop_mac
laptop
laptop_windows
memory
mouse
phone_android
phone_iphone
phonelink_off
phonelink
power_input
router
scanner
security
sim_card
smartphone
speaker_group
speaker
tablet_android
tablet_mac
tablet
toys
tv
videogame_asset
watch
